NM,FQ,FM,LQ
9900,9627,11472,11551
9594,9885,11704,11124
9505,10271,11736,10615
9621,10733,11543,10139
9898,11209,11149,9782
10294,11606,10639,9586
10765,11817,10139,9564
11253,11760,9765,9720
11659,11437,9587,10049
11858,10945,9610,10526
11755,10427,9806,11066
11372,9989,10143,11528
10835,9690,10583,11771
10306,9554,11060,11740
9892,9596,11478,11476
9633,9830,11730,11074
9539,10238,11746,10626
9617,10760,11519,10199
9873,11285,11112,9841
10300,11676,10626,9603
10838,11829,10161,9542
11369,11715,9792,9708
11738,11382,9580,10091
11839,10916,9565,10608
11666,10407,9761,11120
11294,9949,10134,11508
10819,9622,10609,11705
10330,9487,11089,11695
9901,9573,11476,11496
9603,9863,11703,11136
9499,10306,11726,10673
9616,10821,11535,10189
9945,11311,11146,9790
10419,11680,10629,9568
10938,11835,10104,9569
11393,11721,9706,9781
11698,11356,9522,10148
11795,10836,9568,10601
11655,10304,9800,11070
11299,9874,10160,11473
10805,9610,10592,11726
10286,9531,11047,11754
9860,9629,11463,11536
9607,9895,11748,11122
9559,10312,11799,10622
9704,10838,11561,10153
10012,11369,11085,9800
10440,11748,10523,9604
10932,11847,10032,9585
11396,11647,9702,9752
11717,11243,9552,10101
11799,10763,9574,10581
11622,10304,9763,11096
11246,9921,10107,11525
10771,9651,10580,11759
10301,9531,11108,11748
9911,9604,11566,11511
9652,9898,11817,11112
9568,10382,11782,10631
9686,10946,11482,10150
10008,11433,11018,9756
10476,11719,10503,9530
10985,11763,10031,9525
11415,11587,9677,9744
11679,11244,9496,10138
11737,10800,9523,10626
11593,10323,9760,11115
11272,9899,10172,11519
10821,9611,10683,11762
10317,9525,11192,11780
9871,9664,11593,11546
9591,9999,11800,11095
9547,10457,11760,10544
9727,10954,11469,10036
10070,11395,10991,9681
10498,11692,10444,9525
10945,11771,9960,9565
11350,11611,9632,9778
11650,11246,9509,10134
11771,10769,9586,10604
11651,10291,9838,11123
11291,9902,10228,11584
10770,9661,10711,11842
10238,9589,11220,11795
9831,9698,11637,11465
9613,9992,11836,10973
9585,10441,11744,10461
9727,10962,11396,10024
10020,11425,10908,9707
10436,11712,10406,9537
10922,11759,9984,9539
11388,11578,9690,9739
11716,11230,9552,10136
11807,10795,9594,10676
11628,10340,9834,11233
11233,9930,10260,11648
10732,9637,10795,11814
10233,9537,11307,11712
9824,9671,11659,11398
9571,10017,11777,10952
9517,10493,11660,10459
9675,10988,11358,10002
10017,11405,10933,9658
10482,11675,10454,9493
10984,11756,9999,9543
11426,11626,9659,9807
11721,11289,9518,10237
11800,10804,9611,10752
11631,10276,9919,11249
11233,9838,10359,11628
10692,9588,10836,11796
10150,9555,11269,11705
9736,9720,11590,11377
9528,10038,11742,10902
9534,10463,11680,10399
9725,10943,11394,9969
10060,11403,10934,9680
10497,11735,10410,9559
10989,11832,9954,9614
11458,11647,9663,9846
11786,11229,9574,10248
11852,10706,9676,10768
11608,10214,9938,11289
11136,9835,10323,11664
10590,9605,10789,11785
10106,9546,11253,11645
9759,9672,11613,11312
9571,9988,11769,10883
9551,10460,11676,10439
9709,11002,11360,10035
10046,11487,10904,9720
10537,11780,10415,9551
11092,11810,9981,9588
11565,11587,9673,9857
11816,11183,9542,10314
11787,10685,9623,10841
11516,10187,9904,11307
11091,9779,10333,11615
10602,9534,10822,11724
10131,9497,11272,11633
9751,9678,11599,11361
9532,10045,11744,10946
9525,10533,11674,10459
9744,11049,11389,9996
10150,11499,10926,9666
10655,11782,10385,9541
11154,11817,9900,9641
11548,11580,9592,9927
11765,11129,9514,10337
11759,10590,9648,10805
11519,10096,9942,11257
11093,9737,10340,11608
10574,9555,10791,11772
10084,9555,11242,11693
9727,9728,11617,11376
9565,10064,11811,10907
9605,10540,11731,10405
9826,11087,11369,9979
10190,11568,10831,9691
10655,11827,10285,9570
11146,11784,9862,9631
11559,11480,9611,9882
11780,11032,9539,10297
11748,10555,9634,10809
11476,10127,9894,11303
11045,9790,10304,11658
10563,9579,10818,11789
10118,9540,11334,11672
9780,9710,11716,11352
9591,10099,11840,10904
9593,10637,11674,10409
9806,11182,11285,9954
10202,11586,10786,9626
10700,11763,10281,9497
11185,11705,9855,9594
11549,11453,9571,9898
11727,11061,9480,10345
11699,10593,9604,10845
11476,10128,9928,11310
11089,9754,10397,11655
10600,9549,10922,11805
10104,9564,11393,11710
9718,9796,11715,11364
9540,10194,11813,10848
9601,10678,11656,10298
9862,11158,11270,9851
10249,11545,10747,9585
10690,11754,10215,9519
11126,11730,9793,9639
11497,11473,9555,9917
11732,11047,9523,10330
11755,10556,9682,10835
11523,10108,10000,11350
11071,9780,10438,11737
10524,9609,10945,11860
10035,9614,11427,11673
9707,9806,11758,11249
9576,10174,11827,10735
9625,10667,11611,10252
9834,11178,11188,9867
10185,11576,10683,9612
10643,11763,10211,9513
11137,11708,9840,9602
11559,11446,9611,9894
11794,11050,9549,10369
11763,10596,9679,10936
11475,10149,10008,11446
11016,9778,10496,11754
10501,9563,11035,11794
10033,9565,11485,11589
9685,9801,11735,11208
9517,10216,11746,10734
9558,10712,11545,10249
9803,11183,11185,9833
10211,11544,10728,9563
10706,11739,10248,9490
11195,11732,9831,9639
11584,11506,9570,9986
11790,11088,9533,10465
11759,10563,9729,10982
11478,10059,10105,11437
10998,9698,10569,11730
10437,9545,11032,11784
9941,9604,11421,11581
9617,9840,11678,11177
9505,10211,11743,10678
9598,10668,11583,10199
9858,11155,11210,9827
10244,11576,10706,9609
10716,11817,10195,9565
11212,11788,9802,9698
11635,11482,9600,10008
11855,10996,9599,10472
11776,10473,9772,11009
11412,10026,10090,11479
10889,9711,10517,11747
10361,9554,10994,11749
9935,9575,11427,11516
9658,9786,11710,11133
9542,10180,11760,10692
9599,10700,11563,10259
9838,11237,11172,9886
10254,11650,10688,9625
10791,11829,10211,9539
11327,11739,9823,9681
11709,11422,9587,10044
11833,10962,9548,10546
11687,10454,9721,11058
11338,9987,10076,11460
10879,9644,10543,11685
10390,9490,11026,11710
9950,9551,11434,11540
9632,9822,11690,11199
9503,10253,11745,10740
9599,10767,11578,10246
9911,11267,11203,9827
10374,11653,10685,9583
10886,11831,10149,9559
11345,11740,9732,9748
11665,11394,9526,10094
11787,10887,9548,10536
11678,10357,9759,11006
11349,9919,10103,11428
10870,9637,10531,11711
10350,9536,10993,11774
9908,9613,11427,11584
9634,9858,11740,11183
9562,10263,11818,10682
9686,10786,11601,10201
9974,11323,11136,9831
10387,11718,10575,9613
10873,11840,10075,9570
11342,11669,9727,9715
11681,11288,9557,10043
11795,10820,9558,10513
11653,10362,9725,11035
11302,9969,10057,11485
10837,9682,10525,11751
10362,9539,11060,11771
9955,9590,11536,11555
9675,9862,11811,11165
9566,10332,11799,10682
9661,10891,11519,10191
9962,11384,11067,9782
10415,11688,10555,9537
10919,11759,10078,9508
11360,11613,9707,9704
11648,11296,9504,10081
11739,10864,9509,10563
11626,10387,9727,11061
11328,9950,10127,11485
10885,9641,10635,11755
10374,9531,11149,11799
9910,9646,11563,11583
9609,9959,11789,11142
9539,10403,11773,10591
9695,10892,11506,10075
10019,11341,11045,9707
10434,11660,10504,9531
10879,11773,10011,9550
11297,11645,9666,9742
11623,11304,9519,10084
11777,10836,9575,10547
11689,10352,9809,11074
11346,9949,10186,11552
10830,9686,10663,11833
10289,9590,11172,11810
9864,9675,11600,11499
9624,9947,11821,11018
9573,10380,11758,10509
9693,10896,11438,10067
9968,11371,10968,9737
10373,11686,10470,9547
10861,11769,10036,9528
11342,11618,9724,9706
11697,11289,9564,10088
11819,10858,9583,10624
11664,10395,9805,11184
11285,9968,10215,11614
10786,9655,10740,11801
10280,9532,11252,11724
